ReportGenerated,QuizTitle,QuizHighScore,QuizLowScore,QuizMeanScore,QuizMedianScore,QuizStandardDeviation,QuizCronbachsAlpha,QuizMeanElapsedTime,ItemID,Title,ItemDifficulty,PossiblePoints,MeanEarnedPoints,MedianEarnedPoints,DiscriminationIndex,CorrectedItemTotalCorrelation,ItemType,Correct,Incorrect,Graded,NoResponse,AnswerFrequencies
2026-01-20T16:19:54Z,Week One,100.0,65.0,95.42553191489361,100.0,7.567412444161166,0.35415019762845845,32:23:30
,,,,,,,,,593516,Understanding Sentence Structure,0.9574468085106383,0.5,0.4787234042553192,0.5,N/A,0.6315333036108624,choice,45,2,N/A,0,"{""answers"":[{""answer"":""<p>4</p>"",""count"":1,""correct"":false},{""answer"":""<p>8</p>"",""count"":0,""correct"":false},{""answer"":""<p>12</p>"",""count"":1,""correct"":false},{""answer"":""<p>16</p>"",""count"":45,""correct"":true}]}"
,,,,,,,,,593530,Complex Truth tables,0.8297872340425532,1.0,0.8297872340425532,1.0,N/A,0.2719492316199885,choice,39,8,N/A,0,"{""answers"":[{""answer"":""<table style=\""border-collapse: collapse; width: 100%; min-width: 400px;\"" border=\""1\""><caption>Truth table</caption>\n<tbody>\n<tr>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">P</th>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">Q</th>\n<th style=\""width: 33%; padding: 10px; text-align: center; white-space: nowrap;\"" scope=\""col\"">((P → Q) → P) → P</th>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n</tbody>\n</table>"",""count"":39,""correct"":true},{""answer"":""<table style=\""border-collapse: collapse; width: 100%; min-width: 400px;\"" border=\""1\""><caption>Truth table</caption>\n<tbody>\n<tr>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">P</th>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">Q</th>\n<th style=\""width: 33%; padding: 10px; text-align: center; white-space: nowrap;\"" scope=\""col\"">((P → Q) → P) → P</th>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n</tbody>\n</table>"",""count"":3,""correct"":false},{""answer"":""<table style=\""border-collapse: collapse; width: 100%; min-width: 400px;\"" border=\""1\""><caption>Truth table</caption>\n<tbody>\n<tr>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">P</th>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">Q</th>\n<th style=\""width: 33%; padding: 10px; text-align: center; white-space: nowrap;\"" scope=\""col\"">((P → Q) → P) → P</th>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n</tbody>\n</table>"",""count"":2,""correct"":false},{""answer"":""<table style=\""border-collapse: collapse; width: 100%; min-width: 400px;\"" border=\""1\""><caption>Truth table</caption>\n<tbody>\n<tr>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">P</th>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">Q</th>\n<th style=\""width: 33%; padding: 10px; text-align: center; white-space: nowrap;\"" scope=\""col\"">((P → Q) → P) → P</th>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n</tbody>\n</table>"",""count"":3,""correct"":false}]}"
,,,,,,,,,593514,Understanding Sentence Structure ,1.0,0.5,0.5,0.5,N/A,N/A,choice,47,0,N/A,0,"{""answers"":[{""answer"":""<p>∧&nbsp;</p>"",""count"":0,""correct"":false},{""answer"":""<p>∨&nbsp;</p>"",""count"":47,""correct"":true},{""answer"":""<p>There is no main connective</p>"",""count"":0,""correct"":false}]}"
,,,,,,,,,593521,Truth table basics,1.0,0.5,0.5,0.5,N/A,N/A,choice,47,0,N/A,0,"{""answers"":[{""answer"":""<table style=\""border-collapse: collapse; width: 100%; min-width: 300px;\"" border=\""1\""><caption>Truth table</caption>\n<tbody>\n<tr>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">P</th>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">Q</th>\n<th style=\""width: 33%; padding: 10px; text-align: center; white-space: nowrap;\"" scope=\""col\"">P ∨ Q</th>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n</tbody>\n</table>"",""count"":47,""correct"":true},{""answer"":""<table style=\""border-collapse: collapse; width: 100%; min-width: 300px;\"" border=\""1\""><caption>Truth table</caption>\n<tbody>\n<tr>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">P</th>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">Q</th>\n<th style=\""width: 33%; padding: 10px; text-align: center; white-space: nowrap;\"" scope=\""col\"">P ∨ Q</th>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n</tbody>\n</table>"",""count"":0,""correct"":false},{""answer"":""<table style=\""border-collapse: collapse; width: 100%; min-width: 300px;\"" border=\""1\""><caption>Truth table</caption>\n<tbody>\n<tr>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">P</th>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">Q</th>\n<th style=\""width: 33%; padding: 10px; text-align: center; white-space: nowrap;\"" scope=\""col\"">P ∨ Q</th>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n</tbody>\n</table>"",""count"":0,""correct"":false},{""answer"":""<table style=\""border-collapse: collapse; width: 100%; min-width: 300px;\"" border=\""1\""><caption>Truth table</caption>\n<tbody>\n<tr>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">P</th>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">Q</th>\n<th style=\""width: 33%; padding: 10px; text-align: center; white-space: nowrap;\"" scope=\""col\"">P ∨ Q</th>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n</tbody>\n</table>"",""count"":0,""correct"":false}]}"
,,,,,,,,,593525,Truth table basics,0.9574468085106383,1.0,0.9574468085106383,1.0,N/A,0.4351975937972838,choice,45,2,N/A,0,"{""answers"":[{""answer"":""<table style=\""border-collapse: collapse; width: 100%; min-width: 300px;\"" border=\""1\""><caption>Truth table</caption>\n<tbody>\n<tr>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">P</th>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">Q</th>\n<th style=\""width: 33%; padding: 10px; text-align: center; white-space: nowrap;\"" scope=\""col\"">P → Q</th>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n</tbody>\n</table>"",""count"":45,""correct"":true},{""answer"":""<table style=\""border-collapse: collapse; width: 100%; min-width: 300px;\"" border=\""1\""><caption>Truth table</caption>\n<tbody>\n<tr>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">P</th>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">Q</th>\n<th style=\""width: 33%; padding: 10px; text-align: center; white-space: nowrap;\"" scope=\""col\"">P → Q</th>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n</tbody>\n</table>"",""count"":1,""correct"":false},{""answer"":""<table style=\""border-collapse: collapse; width: 100%; min-width: 300px;\"" border=\""1\""><caption>Truth table</caption>\n<tbody>\n<tr>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">P</th>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">Q</th>\n<th style=\""width: 33%; padding: 10px; text-align: center; white-space: nowrap;\"" scope=\""col\"">P → Q</th>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n</tbody>\n</table>"",""count"":1,""correct"":false},{""answer"":""<table style=\""border-collapse: collapse; width: 100%; min-width: 300px;\"" border=\""1\""><caption>Truth table</caption>\n<tbody>\n<tr>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">P</th>\n<th style=\""width: 33%; padding: 10px; text-align: center;\"" scope=\""col\"">Q</th>\n<th style=\""width: 33%; padding: 10px; text-align: center; white-space: nowrap;\"" scope=\""col\"">P → Q</th>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n</tr>\n<tr>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">F</td>\n<td style=\""padding: 10px; text-align: center;\"">T</td>\n</tr>\n</tbody>\n</table>"",""count"":0,""correct"":false}]}"
,,,,,,,,,593515,Understanding Sentence Structure,0.9787234042553191,0.5,0.48936170212765956,0.5,N/A,0.3132643314674075,choice,46,1,N/A,0,"{""answers"":[{""answer"":""<p>∧&nbsp;</p>"",""count"":1,""correct"":false},{""answer"":""<p>∨&nbsp;</p>"",""count"":0,""correct"":false},{""answer"":""<p>→&nbsp;</p>"",""count"":46,""correct"":true},{""answer"":""<p>¬&nbsp;</p>"",""count"":0,""correct"":false}]}"
,,,,,,,,,593517,Understanding sentence structure,0.9148936170212766,1.0,0.9148936170212766,1.0,N/A,0.17555122599801046,choice,43,4,N/A,0,"{""answers"":[{""answer"":""<p>4</p>"",""count"":0,""correct"":false},{""answer"":""<p>8</p>"",""count"":43,""correct"":true},{""answer"":""<p>12</p>"",""count"":0,""correct"":false},{""answer"":""<p>16</p>"",""count"":4,""correct"":false}]}"
,,,,,,,,,593512,Symbolization Basics,0.9787234042553191,0.5,0.48936170212765956,0.5,N/A,0.10941671748086583,choice,46,1,N/A,0,"{""answers"":[{""answer"":""<p>P ∧ Q</p>"",""count"":0,""correct"":false},{""answer"":""<p>P ∨ ¬Q</p>"",""count"":1,""correct"":false},{""answer"":""<p>P ∧ ¬Q</p>"",""count"":46,""correct"":true},{""answer"":""<p>¬P ∧ Q</p>"",""count"":0,""correct"":false}]}"
,,,,,,,,,593526,Understanding,0.9787234042553191,1.0,0.9787234042553191,1.0,N/A,-0.08515098432270124,choice,46,1,N/A,0,"{""answers"":[{""answer"":""<p><span>A different sentence</span></p>"",""count"":1,""correct"":false},{""answer"":""<p><span>A different way the atomic sentences could be true or false</span></p>"",""count"":46,""correct"":true},{""answer"":""<p><span>A different logical connective</span></p>"",""count"":0,""correct"":false},{""answer"":""<p><span>A different argument</span></p>"",""count"":0,""correct"":false}]}"
