filename,scaled_height,height,relative_to_min
05-01.svg,124,25.58,1.55
05-02.svg,124,25.58,1.55
05-03.svg,182,37.54,2.28
05-04.svg,204.8,42.24,2.56
05-05.svg,204.8,42.24,2.56
05-06.svg,182,37.54,2.28
05-07.svg,182,37.54,2.28
05-08.svg,204.8,42.24,2.56
05-09.svg,80,16.5,1
05-10.svg,190.5,39.3,2.38
05-11.svg,306.5,63.21,3.83
05-12.svg,418,86.21,5.22
05-13.svg,80,16.5,1
05-14.svg,190.5,39.3,2.38
05-15.svg,302.1,62.3,3.78
05-16.svg,422.4,87.12,5.28
05-17.svg,561.1,115.73,7.01
05-18.svg,80,16.5,1
05-19.svg,213.3,44,2.67
05-20.svg,329.3,67.91,4.12
05-21.svg,80,16.5,1
05-22.svg,190.5,39.3,2.38
05-23.svg,329.3,67.91,4.12
06-01.svg,80.2,16.55,1
06-02.svg,190.8,39.35,2.38
06-03.svg,244.4,50.4,3.05
06-04.svg,387.5,79.92,4.84
06-05.svg,483.9,99.81,6.05
06-06.svg,483.9,99.81,6.05
06-07.svg,80.2,16.55,1
06-08.svg,186.4,38.44,2.33
06-09.svg,329.5,67.96,4.12
06-10.svg,463.8,95.66,5.8
06-11.svg,579.8,119.58,7.25
06-12.svg,680.6,140.38,8.51
06-13.svg,680.6,140.38,8.51
06-14.svg,138.2,28.51,1.73
06-15.svg,248.7,51.3,3.11
06-16.svg,360.3,74.31,4.5
06-17.svg,503.4,103.83,6.29
06-18.svg,599.9,123.72,7.5
06-19.svg,138.2,28.51,1.73
06-20.svg,248.7,51.3,3.11
06-21.svg,383.1,79.01,4.79
06-22.svg,526.2,108.53,6.58
06-23.svg,622.6,128.42,7.78
06-24.svg,254.1,52.4,3.18
06-25.svg,360.3,74.31,4.5
06-26.svg,503.4,103.83,6.29
06-27.svg,599.9,123.72,7.5
06-28.svg,642.1,132.44,8.03
06-29.svg,738.6,152.33,9.23
