country,age_group,age_code,value
South Africa,From 35 to 44 years,Y35T44,357.2372131347656
South Africa,From 35 to 44 years,Y35T44,366.5697631835938
South Africa,From 25 to 64 years,Y25T64,330.8936157226563
South Africa,From 25 to 34 years,Y25T34,305.3331604003906
South Africa,From 25 to 64 years,Y25T64,319.9668273925781
Switzerland,From 25 to 34 years,Y25T34,126.9942245483398
Switzerland,From 55 to 64 years,Y55T64,136.6379699707031
Switzerland,From 25 to 64 years,Y25T64,133.7865142822266
Switzerland,From 45 to 54 years,Y45T54,142.0719299316406
Switzerland,From 35 to 44 years,Y35T44,135.9515075683594
Switzerland,From 25 to 64 years,Y25T64,136.1166381835938
Switzerland,From 35 to 44 years,Y35T44,137.5826110839844
Switzerland,From 55 to 64 years,Y55T64,142.6965026855469
Switzerland,From 45 to 54 years,Y45T54,145.9910736083984
Switzerland,From 25 to 34 years,Y25T34,125.7043762207031
Austria,From 55 to 64 years,Y55T64,117.6679840087891
Australia,From 35 to 44 years,Y35T44,130.8813323974609
Austria,From 35 to 44 years,Y35T44,114.5008239746094
Chile,From 35 to 44 years,Y35T44,228.6118011474609
Costa Rica,From 35 to 44 years,Y35T44,202.2666778564453
Czechia,From 35 to 44 years,Y35T44,131.7976226806641
Denmark,From 35 to 44 years,Y35T44,113.0129928588867
Estonia,From 35 to 44 years,Y35T44,126.1493988037109
Germany,From 35 to 44 years,Y35T44,148.3071136474609
Hungary,From 35 to 44 years,Y35T44,149.7270202636719
Korea,From 35 to 44 years,Y35T44,131.4512176513672
Latvia,From 35 to 44 years,Y35T44,126.0732955932617
Luxembourg,From 35 to 44 years,Y35T44,140.2567749023438
Mexico,From 35 to 44 years,Y35T44,148.5563507080078
Netherlands,From 35 to 44 years,Y35T44,133.3844909667969
New Zealand,From 35 to 44 years,Y35T44,131.2356567382813
Norway,From 35 to 44 years,Y35T44,106.4467544555664
Slovak Republic,From 35 to 44 years,Y35T44,120.5146942138672
Spain,From 35 to 44 years,Y35T44,142.072998
Sweden,From 35 to 44 years,Y35T44,113.0273208618164
United Kingdom,From 35 to 44 years,Y35T44,138.3368835449219
United States,From 35 to 44 years,Y35T44,167.3332977294922
OECD,From 35 to 44 years,Y35T44,139.9952728965066
Argentina,From 35 to 44 years,Y35T44,170.6266326904297
Australia,From 45 to 54 years,Y45T54,139.0029754638672
Austria,From 45 to 54 years,Y45T54,116.2948150634766
Chile,From 45 to 54 years,Y45T54,264.6156311035156
Costa Rica,From 45 to 54 years,Y45T54,202.8182830810547
Czechia,From 45 to 54 years,Y45T54,140.5403747558594
Denmark,From 45 to 54 years,Y45T54,114.7007522583008
Estonia,From 45 to 54 years,Y45T54,152.3030395507813
Germany,From 45 to 54 years,Y45T54,181.1503295898438
Hungary,From 45 to 54 years,Y45T54,152.8470611572266
Korea,From 45 to 54 years,Y45T54,147.8181304931641
Latvia,From 45 to 54 years,Y45T54,144.5470733642578
Luxembourg,From 45 to 54 years,Y45T54,157.8810882568359
Mexico,From 45 to 54 years,Y45T54,159.7301635742188
Netherlands,From 45 to 54 years,Y45T54,142.0844116210938
New Zealand,From 45 to 54 years,Y45T54,144.6566772460938
Norway,From 45 to 54 years,Y45T54,113.1328048706055
Slovak Republic,From 45 to 54 years,Y45T54,133.6207275390625
Spain,From 45 to 54 years,Y45T54,154.9074859619141
Sweden,From 45 to 54 years,Y45T54,119.5312805175781
United Kingdom,From 45 to 54 years,Y45T54,150.8195343017578
United States,From 45 to 54 years,Y45T54,168.3942260742188
OECD,From 45 to 54 years,Y45T54,151.9758557406339
Argentina,From 45 to 54 years,Y45T54,188.1636047363281
Australia,From 25 to 34 years,Y25T34,119.9394226074219
Austria,From 25 to 34 years,Y25T34,112.2300872802734
Chile,From 25 to 34 years,Y25T34,196.6947631835938
Costa Rica,From 25 to 34 years,Y25T34,191.3886566162109
Czechia,From 25 to 34 years,Y25T34,122.9498215
Denmark,From 25 to 34 years,Y25T34,108.7464218139648
Estonia,From 25 to 34 years,Y25T34,123.3875198364258
Germany,From 25 to 34 years,Y25T34,132.9090423583984
Hungary,From 25 to 34 years,Y25T34,132.3040771484375
Korea,From 25 to 34 years,Y25T34,116.1410522460938
Latvia,From 25 to 34 years,Y25T34,132.7618408203125
Luxembourg,From 25 to 34 years,Y25T34,142.6998596191406
Mexico,From 25 to 34 years,Y25T34,143.2281951904297
Netherlands,From 25 to 34 years,Y25T34,119.4677658081055
New Zealand,From 25 to 34 years,Y25T34,122.6159133911133
Norway,From 25 to 34 years,Y25T34,99.2541275
Slovak Republic,From 25 to 34 years,Y25T34,114.9176788330078
Spain,From 25 to 34 years,Y25T34,138.9787750244141
Sweden,From 25 to 34 years,Y25T34,107.4998092651367
United Kingdom,From 25 to 34 years,Y25T34,128.2358398
United States,From 25 to 34 years,Y25T34,156.8671112060547
OECD,From 25 to 34 years,Y25T34,131.3732733293013
Argentina,From 25 to 34 years,Y25T34,156.8764190673828
Australia,From 55 to 64 years,Y55T64,139.5802612304688
Chile,From 55 to 64 years,Y55T64,299.9263916015625
Costa Rica,From 55 to 64 years,Y55T64,194.0132141113281
Czechia,From 55 to 64 years,Y55T64,135.2206573486328
Denmark,From 55 to 64 years,Y55T64,118.9559173583984
Estonia,From 55 to 64 years,Y55T64,124.8338241577148
Germany,From 55 to 64 years,Y55T64,132.9377746582031
Hungary,From 55 to 64 years,Y55T64,148.4983062744141
Korea,From 55 to 64 years,Y55T64,158.7889556884766
Latvia,From 55 to 64 years,Y55T64,162.7341613769531
Luxembourg,From 55 to 64 years,Y55T64,132.1424255371094
Mexico,From 55 to 64 years,Y55T64,161.4159698486328
Netherlands,From 55 to 64 years,Y55T64,140.0115203857422
New Zealand,From 55 to 64 years,Y55T64,137.7085418701172
Norway,From 55 to 64 years,Y55T64,116.301384
Slovak Republic,From 55 to 64 years,Y55T64,131.2484436035156
Spain,From 55 to 64 years,Y55T64,139.4252014160156
Sweden,From 55 to 64 years,Y55T64,131.9808502197266
United Kingdom,From 55 to 64 years,Y55T64,143.5358123779297
United States,From 55 to 64 years,Y55T64,171.8862152099609
OECD,From 55 to 64 years,Y55T64,148.8841733065518
Argentina,From 55 to 64 years,Y55T64,189.7187652587891
Australia,From 25 to 64 years,Y25T64,130.2110137939453
Austria,From 25 to 64 years,Y25T64,105.3895721435547
Chile,From 25 to 64 years,Y25T64,227.6191101074219
Costa Rica,From 25 to 64 years,Y25T64,198.8318023681641
Czechia,From 25 to 64 years,Y25T64,132.3307800292969
Denmark,From 25 to 64 years,Y25T64,111.5369262695313
Estonia,From 25 to 64 years,Y25T64,136.9061889648438
Germany,From 25 to 64 years,Y25T64,142.4099273681641
Hungary,From 25 to 64 years,Y25T64,148.1430053710938
Korea,From 25 to 64 years,Y25T64,132.5461120605469
Latvia,From 25 to 64 years,Y25T64,142.8237152099609
Luxembourg,From 25 to 64 years,Y25T64,143.1863250732422
Mexico,From 25 to 64 years,Y25T64,149.4482422
Netherlands,From 25 to 64 years,Y25T64,128.9963531494141
New Zealand,From 25 to 64 years,Y25T64,131.3518829345703
Norway,From 25 to 64 years,Y25T64,106.3010864257813
Slovak Republic,From 25 to 64 years,Y25T64,125.4199600219727
Spain,From 25 to 64 years,Y25T64,139.8917388916016
Sweden,From 25 to 64 years,Y25T64,115.2669372558594
United Kingdom,From 25 to 64 years,Y25T64,136.8600158691406
United States,From 25 to 64 years,Y25T64,164.4123229980469
OECD,From 25 to 64 years,Y25T64,140.1667965975675
Argentina,From 25 to 64 years,Y25T64,175.4143524169922
Australia,From 55 to 64 years,Y55T64,138.4822845458984
Austria,From 55 to 64 years,Y55T64,117.6313781738281
Chile,From 55 to 64 years,Y55T64,296.7569580078125
Costa Rica,From 55 to 64 years,Y55T64,213.5810241699219
Czechia,From 55 to 64 years,Y55T64,135.7908325195313
Denmark,From 55 to 64 years,Y55T64,120.2056655883789
Estonia,From 55 to 64 years,Y55T64,132.1056518554688
Germany,From 55 to 64 years,Y55T64,142.1504974365234
Hungary,From 55 to 64 years,Y55T64,154.5307006835938
Korea,From 55 to 64 years,Y55T64,161.9071960449219
Latvia,From 55 to 64 years,Y55T64,167.8275909423828
Luxembourg,From 55 to 64 years,Y55T64,139.9671173095703
Mexico,From 55 to 64 years,Y55T64,162.4257659912109
Netherlands,From 55 to 64 years,Y55T64,147.5582275390625
New Zealand,From 55 to 64 years,Y55T64,139.6150207519531
Norway,From 55 to 64 years,Y55T64,131.3064575195313
Slovak Republic,From 55 to 64 years,Y55T64,128.5975952148438
Slovenia,From 55 to 64 years,Y55T64,163.1367797851563
Spain,From 55 to 64 years,Y55T64,153.7650451660156
Sweden,From 55 to 64 years,Y55T64,135.6636810302734
United Kingdom,From 55 to 64 years,Y55T64,141.8188323974609
United States,From 55 to 64 years,Y55T64,174.3299255371094
OECD,From 55 to 64 years,Y55T64,153.9935107
Argentina,From 55 to 64 years,Y55T64,201.1513824462891
Australia,From 25 to 34 years,Y25T34,120.3226470947266
Austria,From 25 to 34 years,Y25T34,101.4980469
Chile,From 25 to 34 years,Y25T34,198.2870483398438
Costa Rica,From 25 to 34 years,Y25T34,205.4091491699219
Czechia,From 25 to 34 years,Y25T34,122.7970504760742
Denmark,From 25 to 34 years,Y25T34,104.0800094604492
Estonia,From 25 to 34 years,Y25T34,120.8872909545898
Germany,From 25 to 34 years,Y25T34,134.6481170654297
Hungary,From 25 to 34 years,Y25T34,138.2010803222656
Korea,From 25 to 34 years,Y25T34,120.2792434692383
Latvia,From 25 to 34 years,Y25T34,131.9541473388672
Luxembourg,From 25 to 34 years,Y25T34,148.5830078
